0.02.676.071 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.02.682.636 W srv  llama_server: -----------------
0.02.682.640 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.02.682.643 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.02.682.643 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.02.682.643 W srv  llama_server: -----------------
0.02.697.931 I srv    load_model: loading model 'D:\models\gguf\Qwen3.5-9B-Q4_K_M.gguf'
0.17.062.108 I cmn          init: llama threadpool init, n_threads = 10
0.17.287.889 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 32768, kv_unified = 'true'
0.17.341.123 I srv  llama_server: model loaded
0.17.341.187 I srv  llama_server: listening on http://127.0.0.1:8080
0.17.341.189 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
0.17.341.191 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
4.09.097.705 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
4.18.687.975 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.984 (> 0.100 thold), f_keep = 0.965
4.18.688.189 I slot launch_slot_: id  3 | task 292 | processing task, is_child = 0
4.19.835.959 I slot print_timing: id  3 | task 292 | prompt eval time =     118.17 ms /    29 tokens (    4.07 ms per token,   245.42 tokens per second)
4.19.835.971 I slot print_timing: id  3 | task 292 |        eval time =    1029.48 ms /    39 tokens (   27.09 ms per token,    36.91 tokens per second)
4.19.835.972 I slot print_timing: id  3 | task 292 |       total time =    1147.64 ms /    68 tokens
4.19.835.974 I slot print_timing: id  3 | task 292 |    graphs reused =        304
4.19.836.185 I slot      release: id  3 | task 292 | stop processing: n_tokens = 1664, truncated = 0
4.19.853.850 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.988 (> 0.100 thold), f_keep = 0.962
4.19.854.051 I slot launch_slot_: id  3 | task 333 | processing task, is_child = 0
4.20.756.263 I slot print_timing: id  3 | task 333 | prompt eval time =     115.49 ms /    23 tokens (    5.02 ms per token,   199.16 tokens per second)
4.20.756.275 I slot print_timing: id  3 | task 333 |        eval time =     786.62 ms /    30 tokens (   27.12 ms per token,    36.87 tokens per second)
4.20.756.277 I slot print_timing: id  3 | task 333 |       total time =     902.10 ms /    53 tokens
4.20.756.278 I slot print_timing: id  3 | task 333 |    graphs reused =        332
4.20.756.372 I slot      release: id  3 | task 333 | stop processing: n_tokens = 1649, truncated = 0
4.20.787.348 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.986 (> 0.100 thold), f_keep = 0.970
4.20.787.576 I slot launch_slot_: id  3 | task 365 | processing task, is_child = 0
4.21.548.783 I slot print_timing: id  3 | task 365 | prompt eval time =     112.02 ms /    25 tokens (    4.48 ms per token,   223.17 tokens per second)
4.21.548.793 I slot print_timing: id  3 | task 365 |        eval time =     649.07 ms /    25 tokens (   27.04 ms per token,    36.98 tokens per second)
4.21.548.794 I slot print_timing: id  3 | task 365 |       total time =     761.09 ms /    50 tokens
4.21.548.795 I slot print_timing: id  3 | task 365 |    graphs reused =        355
4.21.548.865 I slot      release: id  3 | task 365 | stop processing: n_tokens = 1646, truncated = 0
4.21.580.746 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.985 (> 0.100 thold), f_keep = 0.972
4.21.581.056 I slot launch_slot_: id  3 | task 392 | processing task, is_child = 0
4.23.360.267 I slot print_timing: id  3 | task 392 | prompt eval time =     110.27 ms /    28 tokens (    3.94 ms per token,   253.92 tokens per second)
4.23.360.277 I slot print_timing: id  3 | task 392 |        eval time =    1668.82 ms /    63 tokens (   26.92 ms per token,    37.15 tokens per second)
4.23.360.280 I slot print_timing: id  3 | task 392 |       total time =    1779.09 ms /    91 tokens
4.23.360.281 I slot print_timing: id  3 | task 392 |    graphs reused =        416
4.23.360.365 I slot      release: id  3 | task 392 | stop processing: n_tokens = 1687, truncated = 0
4.23.403.932 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.989 (> 0.100 thold), f_keep = 0.950
4.23.404.219 I slot launch_slot_: id  3 | task 457 | processing task, is_child = 0
4.24.251.640 I slot print_timing: id  3 | task 457 | prompt eval time =     111.56 ms /    24 tokens (    4.65 ms per token,   215.14 tokens per second)
4.24.251.660 I slot print_timing: id  3 | task 457 |        eval time =     735.74 ms /    27 tokens (   28.30 ms per token,    35.34 tokens per second)
4.24.251.663 I slot print_timing: id  3 | task 457 |       total time =     847.29 ms /    51 tokens
4.24.251.665 I slot print_timing: id  3 | task 457 |    graphs reused =        441
4.24.251.835 I slot      release: id  3 | task 457 | stop processing: n_tokens = 1647, truncated = 0
4.24.314.466 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.987 (> 0.100 thold), f_keep = 0.971
4.24.314.881 I slot launch_slot_: id  3 | task 486 | processing task, is_child = 0
4.25.136.838 I slot print_timing: id  3 | task 486 | prompt eval time =     114.42 ms /    24 tokens (    4.77 ms per token,   209.76 tokens per second)
4.25.136.853 I slot print_timing: id  3 | task 486 |        eval time =     707.39 ms /    27 tokens (   27.21 ms per token,    36.76 tokens per second)
4.25.136.855 I slot print_timing: id  3 | task 486 |       total time =     821.80 ms /    51 tokens
4.25.136.856 I slot print_timing: id  3 | task 486 |    graphs reused =        466
4.25.136.958 I slot      release: id  3 | task 486 | stop processing: n_tokens = 1647, truncated = 0
4.25.195.968 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.986 (> 0.100 thold), f_keep = 0.971
4.25.196.379 I slot launch_slot_: id  3 | task 515 | processing task, is_child = 0
4.26.170.063 I slot print_timing: id  3 | task 515 | prompt eval time =     110.50 ms /    25 tokens (    4.42 ms per token,   226.25 tokens per second)
4.26.170.074 I slot print_timing: id  3 | task 515 |        eval time =     863.05 ms /    32 tokens (   27.84 ms per token,    35.92 tokens per second)
4.26.170.075 I slot print_timing: id  3 | task 515 |       total time =     973.55 ms /    57 tokens
4.26.170.076 I slot print_timing: id  3 | task 515 |    graphs reused =        496
4.26.170.147 I slot      release: id  3 | task 515 | stop processing: n_tokens = 1653, truncated = 0
4.26.192.473 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.983 (> 0.100 thold), f_keep = 0.968
4.26.192.697 I slot launch_slot_: id  3 | task 549 | processing task, is_child = 0
4.26.892.432 I slot print_timing: id  3 | task 549 | prompt eval time =     113.48 ms /    30 tokens (    3.78 ms per token,   264.36 tokens per second)
4.26.892.452 I slot print_timing: id  3 | task 549 |        eval time =     586.14 ms /    22 tokens (   27.91 ms per token,    35.83 tokens per second)
4.26.892.454 I slot print_timing: id  3 | task 549 |       total time =     699.62 ms /    52 tokens
4.26.892.458 I slot print_timing: id  3 | task 549 |    graphs reused =        516
4.26.892.540 I slot      release: id  3 | task 549 | stop processing: n_tokens = 1648, truncated = 0
4.26.909.996 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.979 (> 0.100 thold), f_keep = 0.971
4.26.910.435 I slot launch_slot_: id  3 | task 573 | processing task, is_child = 0
4.28.299.705 I slot print_timing: id  3 | task 573 | prompt eval time =     118.17 ms /    37 tokens (    3.19 ms per token,   313.09 tokens per second)
4.28.299.717 I slot print_timing: id  3 | task 573 |        eval time =    1270.77 ms /    47 tokens (   27.63 ms per token,    36.20 tokens per second)
4.28.299.718 I slot print_timing: id  3 | task 573 |       total time =    1388.94 ms /    84 tokens
4.28.299.719 I slot print_timing: id  3 | task 573 |    graphs reused =        561
4.28.299.814 I slot      release: id  3 | task 573 | stop processing: n_tokens = 1680, truncated = 0
4.28.347.309 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.982 (> 0.100 thold), f_keep = 0.952
4.28.347.540 I slot launch_slot_: id  3 | task 622 | processing task, is_child = 0
4.29.400.698 I slot print_timing: id  3 | task 622 | prompt eval time =     124.85 ms /    32 tokens (    3.90 ms per token,   256.30 tokens per second)
4.29.400.710 I slot print_timing: id  3 | task 622 |        eval time =     928.19 ms /    35 tokens (   27.30 ms per token,    36.63 tokens per second)
4.29.400.711 I slot print_timing: id  3 | task 622 |       total time =    1053.04 ms /    67 tokens
4.29.400.712 I slot print_timing: id  3 | task 622 |    graphs reused =        594
4.29.400.804 I slot      release: id  3 | task 622 | stop processing: n_tokens = 1663, truncated = 0
4.29.435.759 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.986 (> 0.100 thold), f_keep = 0.965
4.29.435.965 I slot launch_slot_: id  3 | task 659 | processing task, is_child = 0
4.30.173.737 I slot print_timing: id  3 | task 659 | prompt eval time =     112.95 ms /    29 tokens (    3.89 ms per token,   256.75 tokens per second)
4.30.173.764 I slot print_timing: id  3 | task 659 |        eval time =     624.69 ms /    24 tokens (   27.16 ms per token,    36.82 tokens per second)
4.30.173.767 I slot print_timing: id  3 | task 659 |       total time =     737.64 ms /    53 tokens
4.30.173.769 I slot print_timing: id  3 | task 659 |    graphs reused =        616
4.30.173.930 I slot      release: id  3 | task 659 | stop processing: n_tokens = 1649, truncated = 0
4.30.255.419 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.983 (> 0.100 thold), f_keep = 0.970
4.30.255.641 I slot launch_slot_: id  3 | task 685 | processing task, is_child = 0
4.31.434.306 I slot print_timing: id  3 | task 685 | prompt eval time =     117.50 ms /    31 tokens (    3.79 ms per token,   263.83 tokens per second)
4.31.434.320 I slot print_timing: id  3 | task 685 |        eval time =    1061.00 ms /    41 tokens (   26.53 ms per token,    37.70 tokens per second)
4.31.434.322 I slot print_timing: id  3 | task 685 |       total time =    1178.50 ms /    72 tokens
4.31.434.323 I slot print_timing: id  3 | task 685 |    graphs reused =        655
4.31.434.408 I slot      release: id  3 | task 685 | stop processing: n_tokens = 1668, truncated = 0
4.31.482.316 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.986 (> 0.100 thold), f_keep = 0.959
4.31.482.517 I slot launch_slot_: id  3 | task 728 | processing task, is_child = 0
4.32.449.789 I slot print_timing: id  3 | task 728 | prompt eval time =     110.18 ms /    25 tokens (    4.41 ms per token,   226.91 tokens per second)
4.32.449.800 I slot print_timing: id  3 | task 728 |        eval time =     856.99 ms /    32 tokens (   27.64 ms per token,    36.17 tokens per second)
4.32.449.802 I slot print_timing: id  3 | task 728 |       total time =     967.16 ms /    57 tokens
4.32.449.803 I slot print_timing: id  3 | task 728 |    graphs reused =        685
4.32.449.881 I slot      release: id  3 | task 728 | stop processing: n_tokens = 1653, truncated = 0
4.32.488.150 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.984 (> 0.100 thold), f_keep = 0.968
4.32.488.463 I slot launch_slot_: id  3 | task 762 | processing task, is_child = 0
4.33.047.328 I slot print_timing: id  3 | task 762 | prompt eval time =     124.62 ms /    29 tokens (    4.30 ms per token,   232.70 tokens per second)
4.33.047.339 I slot print_timing: id  3 | task 762 |        eval time =     434.06 ms /    17 tokens (   27.13 ms per token,    36.86 tokens per second)
4.33.047.341 I slot print_timing: id  3 | task 762 |       total time =     558.68 ms /    46 tokens
4.33.047.342 I slot print_timing: id  3 | task 762 |    graphs reused =        700
4.33.047.420 I slot      release: id  3 | task 762 | stop processing: n_tokens = 1642, truncated = 0
4.33.066.748 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.985 (> 0.100 thold), f_keep = 0.974
4.33.067.025 I slot launch_slot_: id  3 | task 781 | processing task, is_child = 0
4.34.004.602 I slot print_timing: id  3 | task 781 | prompt eval time =     109.12 ms /    28 tokens (    3.90 ms per token,   256.60 tokens per second)
4.34.004.612 I slot print_timing: id  3 | task 781 |        eval time =     828.35 ms /    31 tokens (   27.61 ms per token,    36.22 tokens per second)
4.34.004.613 I slot print_timing: id  3 | task 781 |       total time =     937.47 ms /    59 tokens
4.34.004.618 I slot print_timing: id  3 | task 781 |    graphs reused =        729
4.34.004.696 I slot      release: id  3 | task 781 | stop processing: n_tokens = 1655, truncated = 0
4.34.053.522 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.983 (> 0.100 thold), f_keep = 0.968
4.34.053.988 I slot launch_slot_: id  3 | task 814 | processing task, is_child = 0
4.34.850.776 I slot print_timing: id  3 | task 814 | prompt eval time =     173.00 ms /    33 tokens (    5.24 ms per token,   190.75 tokens per second)
4.34.850.787 I slot print_timing: id  3 | task 814 |        eval time =     623.62 ms /    24 tokens (   27.11 ms per token,    36.88 tokens per second)
4.34.850.832 I slot print_timing: id  3 | task 814 |       total time =     796.62 ms /    57 tokens
4.34.850.835 I slot print_timing: id  3 | task 814 |    graphs reused =        751
4.34.850.923 I slot      release: id  3 | task 814 | stop processing: n_tokens = 1653, truncated = 0
4.34.898.812 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.985 (> 0.100 thold), f_keep = 0.968
4.34.899.071 I slot launch_slot_: id  3 | task 840 | processing task, is_child = 0
4.36.517.147 I slot print_timing: id  3 | task 840 | prompt eval time =     141.88 ms /    28 tokens (    5.07 ms per token,   197.36 tokens per second)
4.36.517.158 I slot print_timing: id  3 | task 840 |        eval time =    1476.07 ms /    57 tokens (   26.36 ms per token,    37.94 tokens per second)
4.36.517.159 I slot print_timing: id  3 | task 840 |       total time =    1617.95 ms /    85 tokens
4.36.517.160 I slot print_timing: id  3 | task 840 |    graphs reused =        806
4.36.517.232 I slot      release: id  3 | task 840 | stop processing: n_tokens = 1681, truncated = 0
4.36.550.850 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.988 (> 0.100 thold), f_keep = 0.952
4.36.551.025 I slot launch_slot_: id  3 | task 899 | processing task, is_child = 0
4.37.150.384 I slot print_timing: id  3 | task 899 | prompt eval time =     113.79 ms /    22 tokens (    5.17 ms per token,   193.33 tokens per second)
4.37.150.395 I slot print_timing: id  3 | task 899 |        eval time =     485.44 ms /    19 tokens (   26.97 ms per token,    37.08 tokens per second)
4.37.150.397 I slot print_timing: id  3 | task 899 |       total time =     599.24 ms /    41 tokens
4.37.150.398 I slot print_timing: id  3 | task 899 |    graphs reused =        823
4.37.150.477 I slot      release: id  3 | task 899 | stop processing: n_tokens = 1637, truncated = 0
4.37.171.707 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.986 (> 0.100 thold), f_keep = 0.977
4.37.171.974 I slot launch_slot_: id  3 | task 920 | processing task, is_child = 0
4.38.527.614 I slot print_timing: id  3 | task 920 | prompt eval time =     112.47 ms /    25 tokens (    4.50 ms per token,   222.28 tokens per second)
4.38.527.626 I slot print_timing: id  3 | task 920 |        eval time =    1243.05 ms /    48 tokens (   26.45 ms per token,    37.81 tokens per second)
4.38.527.627 I slot print_timing: id  3 | task 920 |       total time =    1355.52 ms /    73 tokens
4.38.527.628 I slot print_timing: id  3 | task 920 |    graphs reused =        869
4.38.527.711 I slot      release: id  3 | task 920 | stop processing: n_tokens = 1669, truncated = 0
4.38.544.887 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.989 (> 0.100 thold), f_keep = 0.959
4.38.545.095 I slot launch_slot_: id  3 | task 970 | processing task, is_child = 0
4.39.103.493 I slot print_timing: id  3 | task 970 | prompt eval time =     125.89 ms /    20 tokens (    6.29 ms per token,   158.87 tokens per second)
4.39.103.504 I slot print_timing: id  3 | task 970 |        eval time =     432.40 ms /    17 tokens (   27.02 ms per token,    37.00 tokens per second)
4.39.103.696 I slot print_timing: id  3 | task 970 |       total time =     558.29 ms /    37 tokens
4.39.103.706 I slot print_timing: id  3 | task 970 |    graphs reused =        884
4.39.103.792 I slot      release: id  3 | task 970 | stop processing: n_tokens = 1633, truncated = 0
4.39.121.782 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.991 (> 0.100 thold), f_keep = 0.982
4.39.122.116 I slot launch_slot_: id  3 | task 989 | processing task, is_child = 0
4.39.846.913 I slot print_timing: id  3 | task 989 | prompt eval time =     117.16 ms /    20 tokens (    5.86 ms per token,   170.71 tokens per second)
4.39.846.924 I slot print_timing: id  3 | task 989 |        eval time =     607.53 ms /    23 tokens (   27.61 ms per token,    36.21 tokens per second)
4.39.846.925 I slot print_timing: id  3 | task 989 |       total time =     724.69 ms /    43 tokens
4.39.846.927 I slot print_timing: id  3 | task 989 |    graphs reused =        905
4.39.847.006 I slot      release: id  3 | task 989 | stop processing: n_tokens = 1639, truncated = 0
4.39.877.546 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.990 (> 0.100 thold), f_keep = 0.976
4.39.877.870 I slot launch_slot_: id  3 | task 1014 | processing task, is_child = 0
4.40.554.286 I slot print_timing: id  3 | task 1014 | prompt eval time =     113.10 ms /    19 tokens (    5.95 ms per token,   167.99 tokens per second)
4.40.554.298 I slot print_timing: id  3 | task 1014 |        eval time =     563.20 ms /    21 tokens (   28.16 ms per token,    35.51 tokens per second)
4.40.554.300 I slot print_timing: id  3 | task 1014 |       total time =     676.31 ms /    40 tokens
4.40.554.301 I slot print_timing: id  3 | task 1014 |    graphs reused =        924
4.40.554.383 I slot      release: id  3 | task 1014 | stop processing: n_tokens = 1636, truncated = 0
4.40.590.133 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.987 (> 0.100 thold), f_keep = 0.978
4.40.590.546 I slot launch_slot_: id  3 | task 1037 | processing task, is_child = 0
4.41.148.309 I slot print_timing: id  3 | task 1037 | prompt eval time =     120.10 ms /    24 tokens (    5.00 ms per token,   199.84 tokens per second)
4.41.148.321 I slot print_timing: id  3 | task 1037 |        eval time =     437.47 ms /    17 tokens (   27.34 ms per token,    36.57 tokens per second)
4.41.148.322 I slot print_timing: id  3 | task 1037 |       total time =     557.57 ms /    41 tokens
4.41.148.323 I slot print_timing: id  3 | task 1037 |    graphs reused =        939
4.41.148.404 I slot      release: id  3 | task 1037 | stop processing: n_tokens = 1637, truncated = 0
4.41.179.754 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.988 (> 0.100 thold), f_keep = 0.977
4.41.180.094 I slot launch_slot_: id  3 | task 1056 | processing task, is_child = 0
4.41.865.379 I slot print_timing: id  3 | task 1056 | prompt eval time =     113.75 ms /    23 tokens (    4.95 ms per token,   202.20 tokens per second)
4.41.865.390 I slot print_timing: id  3 | task 1056 |        eval time =     571.42 ms /    22 tokens (   27.21 ms per token,    36.75 tokens per second)
4.41.865.392 I slot print_timing: id  3 | task 1056 |       total time =     685.17 ms /    45 tokens
4.41.865.400 I slot print_timing: id  3 | task 1056 |    graphs reused =        959
4.41.865.479 I slot      release: id  3 | task 1056 | stop processing: n_tokens = 1641, truncated = 0
4.41.901.419 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.989 (> 0.100 thold), f_keep = 0.976
4.41.901.717 I slot launch_slot_: id  3 | task 1080 | processing task, is_child = 0
4.42.689.154 I slot print_timing: id  3 | task 1080 | prompt eval time =     109.09 ms /    22 tokens (    4.96 ms per token,   201.67 tokens per second)
4.42.689.164 I slot print_timing: id  3 | task 1080 |        eval time =     678.23 ms /    26 tokens (   27.13 ms per token,    36.86 tokens per second)
4.42.689.165 I slot print_timing: id  3 | task 1080 |       total time =     787.32 ms /    48 tokens
4.42.689.167 I slot print_timing: id  3 | task 1080 |    graphs reused =        983
4.42.689.246 I slot      release: id  3 | task 1080 | stop processing: n_tokens = 1644, truncated = 0
4.43.274.557 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
4.43.275.343 I slot launch_slot_: id  2 | task 1108 | processing task, is_child = 0
4.49.248.707 I slot print_timing: id  2 | task 1108 | n_gen =    107, tg =  35.21 t/s, tg_3s =  35.54 t/s
4.49.332.962 I slot print_timing: id  2 | task 1108 | prompt eval time =    2870.08 ms /  4637 tokens (    0.62 ms per token,  1615.63 tokens per second)
4.49.332.995 I slot print_timing: id  2 | task 1108 |        eval time =    3094.77 ms /   110 tokens (   28.39 ms per token,    35.22 tokens per second)
4.49.332.998 I slot print_timing: id  2 | task 1108 |       total time =    5964.85 ms /  4747 tokens
4.49.333.001 I slot print_timing: id  2 | task 1108 |    graphs reused =       1091
4.49.333.691 I slot      release: id  2 | task 1108 | stop processing: n_tokens = 4746, truncated = 0
4.49.408.086 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.883 (> 0.100 thold), f_keep = 1.000
4.49.408.576 I slot launch_slot_: id  2 | task 1224 | processing task, is_child = 0
4.52.860.529 I slot print_timing: id  2 | task 1224 | n_gen =    106, tg =  34.96 t/s, tg_3s =  35.29 t/s
4.54.821.961 I slot print_timing: id  2 | task 1224 | prompt eval time =     448.12 ms /   629 tokens (    0.71 ms per token,  1403.64 tokens per second)
4.54.821.973 I slot print_timing: id  2 | task 1224 |        eval time =    4965.14 ms /   174 tokens (   28.70 ms per token,    34.84 tokens per second)
4.54.821.975 I slot print_timing: id  2 | task 1224 |       total time =    5413.26 ms /   803 tokens
4.54.821.976 I slot print_timing: id  2 | task 1224 |    graphs reused =       1262
4.54.822.183 I slot      release: id  2 | task 1224 | stop processing: n_tokens = 5548, truncated = 0
4.54.860.058 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.981 (> 0.100 thold), f_keep = 1.000
4.54.860.447 I slot launch_slot_: id  2 | task 1401 | processing task, is_child = 0
4.56.120.796 I slot print_timing: id  2 | task 1401 | prompt eval time =     135.09 ms /   105 tokens (    1.29 ms per token,   777.25 tokens per second)
4.56.120.808 I slot print_timing: id  2 | task 1401 |        eval time =    1125.14 ms /    41 tokens (   28.13 ms per token,    35.55 tokens per second)
4.56.120.810 I slot print_timing: id  2 | task 1401 |       total time =    1260.24 ms /   146 tokens
4.56.120.811 I slot print_timing: id  2 | task 1401 |    graphs reused =       1301
4.56.121.032 I slot      release: id  2 | task 1401 | stop processing: n_tokens = 5693, truncated = 0
